,player,match_id,innings,bat_position
9,GS Sandhu,1023581.0,1.0,10.0
0,DP Hughes,1023581.0,2.0,1.0
1,JJ Roy,1023581.0,2.0,2.0
2,MC Henriques,1023581.0,2.0,3.0
0,SE Marsh,1023625.0,1.0,1.0
1,M Klinger,1023625.0,1.0,2.0
2,SM Whiteman,1023625.0,1.0,3.0
3,IR Bell,1023625.0,1.0,4.0
4,AJ Turner,1023625.0,1.0,5.0
5,HWR Cartwright,1023625.0,1.0,6.0
6,AC Agar,1023625.0,1.0,7.0
0,JJ Peirson,1023625.0,2.0,1.0
1,SD Heazlett,1023625.0,2.0,2.0
2,BB McCullum,1023625.0,2.0,3.0
3,AI Ross,1023625.0,2.0,4.0
4,JA Burns,1023625.0,2.0,5.0
5,NJ Reardon,1023625.0,2.0,6.0
6,BCJ Cutting,1023625.0,2.0,7.0
7,JD Wildermuth,1023625.0,2.0,8.0
8,MJ Swepson,1023625.0,2.0,9.0
9,MT Steketee,1023625.0,2.0,10.0
0,MP Stoinis,897763.0,1.0,1.0
1,LJ Wright,897763.0,1.0,2.0
2,KP Pietersen,897763.0,1.0,3.0
3,PSP Handscomb,897763.0,1.0,4.0
4,DJ Hussey,897763.0,1.0,5.0
5,RJ Quiney,897763.0,1.0,6.0
6,A Zampa,897763.0,1.0,7.0
7,EP Gulbis,897763.0,1.0,8.0
8,BW Hilfenhaus,897763.0,1.0,9.0
0,UT Khawaja,897763.0,2.0,1.0
1,JH Kallis,897763.0,2.0,2.0
2,SR Watson,897763.0,2.0,3.0
3,MEK Hussey,897763.0,2.0,4.0
4,AD Russell,897763.0,2.0,5.0
5,BJ Rohrer,897763.0,2.0,6.0
6,AC Blizzard,897763.0,2.0,7.0
7,CJ Green,897763.0,2.0,8.0
0,MS Harris,897761.0,1.0,1.0
1,M Klinger,897761.0,1.0,2.0
2,MA Carberry,897761.0,1.0,3.0
3,AC Voges,897761.0,1.0,4.0
4,DJ Willey,897761.0,1.0,5.0
5,AC Agar,897761.0,1.0,6.0
6,CT Bancroft,897761.0,1.0,7.0
7,AJ Tye,897761.0,1.0,8.0
8,JS Paris,897761.0,1.0,9.0
0,MP Stoinis,897761.0,2.0,1.0
1,LJ Wright,897761.0,2.0,2.0
2,KP Pietersen,897761.0,2.0,3.0
3,PSP Handscomb,897761.0,2.0,4.0
4,DJ Hussey,897761.0,2.0,5.0
0,TP Ludeman,897759.0,1.0,1.0
1,DPMD Jayawardene,897759.0,1.0,2.0
2,TM Head,897759.0,1.0,3.0
